station_name,station_id,state
Glenlogan Field Station,40454,QLD
Gold Coast Seaway,40764,QLD
Goondiwindi Airport,41521,QLD
Goondiwindi Post Office,41038,QLD
Gympie,40093,QLD
Hamilton Island,33255,QLD
Hamilton Island Airport,33106,QLD
Hayman Island Resort,33031,QLD
Herberton Mowbray Rd,31029,QLD
Hermitage,41044,QLD
Hervey Bay Airport,40405,QLD
Hervey Bay Wildlife Park,40765,QLD
Hinze Dam,40584,QLD
Horn Island,27058,QLD
Hughenden Airport,30022,QLD
Hughenden Post Office,30024,QLD
Imbil Forestry,40100,QLD
Ingham Composite,32078,QLD
Inglewood Forest,41097,QLD
Inglewood Tobacco Res,41341,QLD
Injune Post Office,43015,QLD
Innisfail,32025,QLD
Ipswich,40101,QLD
Isisford Post Office,36026,QLD
Jimna Forestry,40651,QLD
Julia Creek Airport,29058,QLD
Julia Creek Post Office,29025,QLD
K'Gari Eurong,40478,QLD
Kairi Research Station,31034,QLD
Kalpowar Forestry,39057,QLD
Karumba Airport,29028,QLD
Killarney Post Office,41056,QLD
Kingaroy Airport,40922,QLD
Kingaroy Prince Street,40112,QLD
Kirkleagh,40318,QLD
Koombooloomba Dam,31083,QLD
Kowanyama Airport,29038,QLD
Lakeland Downs Station,31110,QLD
Lockhart River Airport,28008,QLD
Logan City Water Treatment Plant,40854,QLD
Longreach Aero,36031,QLD
Longreach Post Office,36030,QLD
Mackay Aero,33045,QLD
Mackay M.O,33119,QLD
Mackay Post Office,33046,QLD
Maleny Tamarind St,40121,QLD
Mareeba Airport,31190,QLD
Mareeba Airport,31210,QLD
Mareeba Qwrc,31066,QLD
Maryborough,40126,QLD
Miles Constance Street,42112,QLD
Miles Post Office,42023,QLD
Millaroo Dpi,33090,QLD
Mitchell Post Office,43020,QLD
Moggill Vet Res Farm,40418,QLD
Monto Airport,39330,QLD
Monto Township,39104,QLD
Moranbah Water Treatment Plant,34038,QLD
Moreton Telegraph Station,27015,QLD
Mornington Island,29039,QLD
Mount Isa Aero,29127,QLD
Mount Isa Mine,29126,QLD
Mount Isa Post Office,29125,QLD
Mount Surprise Township,30036,QLD
Mt Glorious Fahey Rd,40308,QLD
Mt Tamborine Fern St,40197,QLD
Musgrave,28007,QLD
Nambour Dpi,40282,QLD
Nanango Wills St,40158,QLD
Narayen Res Stn,39171,QLD
Normanton Airport,29063,QLD
Normanton Post Office,29041,QLD
station_name,station_id,state
Aberfeldy,85000,VIC
Aireys Inlet,90180,VIC
Alexandra (Post Office),88001,VIC
Ararat Post Office,89000,VIC
Ararat Prison,89085,VIC
Aspendale Csiro,86147,VIC
Avalon Airport,87113,VIC
Avoca (Post Office),81000,VIC
Bairnsdale,84108,VIC
Bairnsdale Airport,85279,VIC
Bairnsdale Post Office,84080,VIC
Ballan (Fiskville),87005,VIC
Ballarat Aerodrome,89002,VIC
Beechworth Composite,82001,VIC
Beechworth Woolshed,82137,VIC
Benalla (Shadforth Street),82002,VIC
Bendigo Airport,81123,VIC
Bendigo Prison,81003,VIC
Bendoc Forestry,84077,VIC
Beulah,77004,VIC
Birchip Post Office,77007,VIC
Blackwood (Armstrong),87159,VIC
Bogong,83004,VIC
Bonegilla,82100,VIC
Boort,80002,VIC
Bright,83067,VIC
Brighton Bowls Club,86033,VIC
Bundoora (Latrobe University),86351,VIC
Camperdown (Post Office),90011,VIC
Cann River Forestry,84027,VIC
Cape Nelson Lighthouse,90184,VIC
Cape Nelson Lighthouse Comparison,90014,VIC
Cape Otway Lighthouse,90015,VIC
Cape Schanck Lighthouse,86017,VIC
Carrum Downs,86245,VIC
Casterton Showgrounds,90135,VIC
Castlemaine Post Office,88014,VIC
Castlemaine Prison,88110,VIC
Cerberus,86361,VIC
Charlton Post Office,80006,VIC
Clunes,88015,VIC
Colac (Elliminyt),90174,VIC
Colac (Mount Gellibrand),90035,VIC
Colac (Shire Office),90147,VIC
Colac Airport,90022,VIC
Coldstream,86383,VIC
Combienbar Aws,84143,VIC
Corryong (Parish Lane),82011,VIC
Corryong Forestry,82066,VIC
Cranbourne Botanic Gardens,86375,VIC
Creswick,88019,VIC
Dandenong,86224,VIC
Dartmouth Reservoir,82076,VIC
Donald,78072,VIC
Donald Post Office,78011,VIC
Dookie Agricultural College,81013,VIC
Durdidwarrah,87021,VIC
East Sale,85072,VIC
East Sale Comparison,85298,VIC
East Tarwin (Mirboo Pastoral Company),85227,VIC
Echuca Aerodrome,80015,VIC
Edi Upper,83083,VIC
Eildon Fire Tower,88164,VIC
Ellinbank Dairy Research Inst,85240,VIC
Erica,85026,VIC
Essendon Airport,86038,VIC
Euroa,82016,VIC
Falls Creek,83084,VIC
Falls Creek Sec,83037,VIC
Ferny Creek (Dunns Hill),86372,VIC
Forrest State Forest,90040,VIC
French Island (Mcleod Prison),86240,VIC
Gabo Island Lighthouse,84016,VIC
Geelong (Norlane),87117,VIC
Geelong Salines (Moolap),87023,VIC
Geelong Sec,87025,VIC
Gelantipy,84142,VIC
Gellibrand River Forestry,90134,VIC
Goulburn River @ Shepparton,81044,VIC
Grovedale (Geelong Airport),87163,VIC
Hamilton,90044,VIC
Hamilton Airport,90173,VIC
Hamilton Research Station,90103,VIC
Hazelwood Sec,85150,VIC
Healesville (Badger Crk Sanctuary),86050,VIC
Heathcote,88029,VIC
Heywood Forestry,90048,VIC
Horsham Aerodrome,79100,VIC
Horsham Polkemmet Rd,79023,VIC
Hotham Heights,83014,VIC
Hunters Hill,82139,VIC
Jeparit,78086,VIC
Kerang,80023,VIC
Kew,86060,VIC
Kyabram,80091,VIC
Kyneton,88123,VIC
Kyneton Post Office,88036,VIC
Lake Eildon,88023,VIC
Lakes Entrance,84083,VIC
Laverton Raaf,87031,VIC
Laverton Salines,87032,VIC
Lemnos (Campbells Soup),81084,VIC
Lismore (Post Office),89018,VIC
Longerenong,79028,VIC
Lookout Hill,89105,VIC
Lorne Pier Head,90148,VIC
Macedon Forestry,87036,VIC
Maffra Forestry Office,85055,VIC
Maldon (Derby Hill),88041,VIC
Mallacoota,84084,VIC
Malmsbury,88111,VIC
Mangalore Airport,88109,VIC
Maribyrnong Explosives Factory,87038,VIC
Maryborough,88043,VIC
Melbourne Airport,86282,VIC
Melbourne Regional Office,86071,VIC
Merbein Csiro Research Station,76026,VIC
Mildura Airport,76031,VIC
Mildura Post Office,76077,VIC
Mitta Mitta,82068,VIC
Moondarra Reservoir,85199,VIC
Moorabbin Airport,86077,VIC
Mornington,86079,VIC
Mortlake Racecourse,90176,VIC
Morwell (Latrobe Valley Airport),85280,VIC
Mount Baw Baw,85291,VIC
Mount Beauty,83023,VIC
Mount Buffalo Chalet,83073,VIC
Mount Buller,83024,VIC
